area,bedrooms,bathrooms,stories,parking,age_of_house,location_score,furnishing,main_road,guest_room,basement,hot_water_heating,air_conditioning,prefarea,price
1200,2,1,1,1,10,6,1,1,0,0,0,1,0,3000000
1500,3,2,2,1,8,7,2,1,1,0,0,1,1,4500000
1800,3,2,2,2,6,8,2,1,1,1,0,1,1,5000000
2400,4,3,2,2,5,9,3,1,1,1,1,1,1,7000000
3000,4,3,3,2,4,9,3,1,1,1,1,1,1,8500000
3500,5,4,3,3,3,10,3,1,1,1,1,1,1,9500000
900,2,1,1,0,15,5,1,0,0,0,0,0,0,2500000
1100,2,2,1,1,12,6,1,1,0,0,0,1,0,3200000
2000,3,3,2,2,7,8,2,1,1,1,0,1,1,6000000
2700,4,3,2,2,5,9,3,1,1,1,1,1,1,7800000
1600,3,2,1,1,9,7,2,1,0,0,0,1,0,4700000
2200,4,2,2,2,6,8,2,1,1,1,0,1,1,6500000
1300,2,2,1,1,11,6,1,1,0,0,0,1,0,3500000
2800,4,4,3,2,4,9,3,1,1,1,1,1,1,8200000
3200,5,4,3,3,3,10,3,1,1,1,1,1,1,9000000
1450,3,2,1,1,10,7,2,1,0,0,0,1,0,4100000
1750,3,2,2,1,8,7,2,1,1,0,0,1,1,4900000
2100,4,3,2,2,6,8,2,1,1,1,0,1,1,6200000
2600,4,3,2,2,5,9,3,1,1,1,1,1,1,7600000
3100,5,4,3,3,4,10,3,1,1,1,1,1,1,9100000
1000,2,1,1,1,14,5,1,0,0,0,0,0,0,2700000
1250,2,2,1,1,12,6,1,1,0,0,0,1,0,3400000
1550,3,2,2,1,9,7,2,1,1,0,0,1,1,4600000
1850,3,2,2,2,7,8,2,1,1,1,0,1,1,5300000
2350,4,3,2,2,6,9,3,1,1,1,1,1,1,6900000
2950,4,3,3,2,4,9,3,1,1,1,1,1,1,8300000
3400,5,4,3,3,3,10,3,1,1,1,1,1,1,9400000
950,2,1,1,0,16,5,1,0,0,0,0,0,0,2550000
1150,2,2,1,1,13,6,1,1,0,0,0,1,0,3250000
2050,3,3,2,2,7,8,2,1,1,1,0,1,1,6100000
2750,4,3,2,2,5,9,3,1,1,1,1,1,1,7900000
1650,3,2,1,1,9,7,2,1,0,0,0,1,0,4750000
2250,4,2,2,2,6,8,2,1,1,1,0,1,1,6550000
1350,2,2,1,1,11,6,1,1,0,0,0,1,0,3550000
2850,4,4,3,2,4,9,3,1,1,1,1,1,1,8250000
3250,5,4,3,3,3,10,3,1,1,1,1,1,1,9050000
1500,3,2,1,1,10,7,2,1,0,0,0,1,0,4200000
1900,3,2,2,2,7,8,2,1,1,1,0,1,1,5400000
2450,4,3,2,2,5,9,3,1,1,1,1,1,1,7100000
3050,5,4,3,3,4,10,3,1,1,1,1,1,1,8800000
1050,2,1,1,1,14,5,1,0,0,0,0,0,0,2800000
1400,2,2,1,1,12,6,1,1,0,0,0,1,0,3600000
1700,3,2,2,1,8,7,2,1,1,0,0,1,1,4800000
2150,4,3,2,2,6,8,2,1,1,1,0,1,1,6350000
2650,4,3,2,2,5,9,3,1,1,1,1,1,1,7700000
3150,5,4,3,3,4,10,3,1,1,1,1,1,1,8950000
980,2,1,1,0,15,5,1,0,0,0,0,0,0,2600000
1180,2,2,1,1,13,6,1,1,0,0,0,1,0,3300000
2080,3,3,2,2,7,8,2,1,1,1,0,1,1,6150000
2780,4,3,2,2,5,9,3,1,1,1,1,1,1,7950000
1680,3,2,1,1,9,7,2,1,0,0,0,1,0,4780000
2280,4,2,2,2,6,8,2,1,1,1,0,1,1,6600000
1380,2,2,1,1,11,6,1,1,0,0,0,1,0,3580000
2880,4,4,3,2,4,9,3,1,1,1,1,1,1,8300000
3300,5,4,3,3,3,10,3,1,1,1,1,1,1,9150000
